token,count
국민,136
대표,97
정부,92
의원,90
대통령,85
국회,76
민주당,73
선거,67
후보,65
정치,60
문제,54
상황,54
필요,48
예산,44
생각,43
후보자,42
장관,42
윤석열,40
수사,40
관련,39
검찰,38
이번,36
논의,34
정책,33
법안,33
진행,33
위원장,32
지역,32
지방,31
사업,30
인사,30
합의,30
조사,28
경제,27
감사,27
위원회,27
발언,26
의견,26
여야,26
시장,24
위원,24
사실,24
결정,24
판단,23
여당,23
평가,23
책임,22
주장,22
헌법,22
이재명,22
가능,22
추진,22
의혹,21
제출,21
대선,21
내용,21
국정,21
언론,21
이후,21
부분,21
정도,20
마련,20
중요,20
경우,20
회의,20
자료,19
대통령실,19
처리,19
청문회,19
시민,19
사건,19
민생,19
사람,19
원내,19
일본,18
과정,18
이해,18
기관,18
요구,18
의장,18
야당,17
결과,17
정권,17
지금,17
업무,17
행정,17
투표,16
행위,16
심사,16
운영,16
시작,16
절차,16
위반,16
활동,16
역할,16
국가,16
지지,16
서울,16
의회,16
정상,15
자리,15
발의,15
청년,15
예정,15
당원,15
입장,14
거부,14
지원,14
지사,14
보고,14
이유,14
협의,14
시간,14
입법,14
조정,14
적극,13
유감,13
개발,13
도시,13
제안,13
발전,13
총선,13
도민,13
선거구,13
대책,13
노력,13
국감,13
시점,13
이상,13
관리,13
동의,13
보도,13
정보,13
기본,13
근거,13
당시,13
오늘,13
관계,12
통합,12
통과,12
취지,12
약속,12
추가,12
비례,12
반대,12
질의,12
우려,12
일정,12
대한민국,12
증인,12
참사,12
사회,12
얘기,12
확인,12
산업,12
정당,12
검사,12
전문,12
인정,11
개혁,11
모습,11
삭감,11
선관위,11
특위,11
여사,11
행사,11
제시,11
감사원,11
미래,11
검토,11
균형,11
기준,11
간사,11
인구,11
경기도,11
문재인,11
사전,11
고려,11
사퇴,11
요청,10
동안,10
핵심,10
기업,10
유권자,10
사안,10
답변,10
법무부,10
소위,10
일방,10
발생,10
부정,10
환경,10
피해,10
과거,10
준비,10
해결,10
일부,10
검증,10
자신,10
원칙,10
