token,count
민주당,98
국민,90
의원,82
대표,72
후보,68
정부,66
대통령,51
정치,49
관련,47
문제,40
상황,38
문재인,36
선거,35
이재명,33
수사,32
윤석열,31
장관,31
후보자,31
사업,30
생각,30
이번,28
의혹,27
지방,27
필요,25
국회,25
사람,25
야당,24
위원회,24
지역,23
여당,23
부분,23
처리,23
자료,23
시간,22
정권,22
요구,22
정책,22
국가,22
행정,21
감사,21
의견,21
결정,21
사실,21
조사,21
법안,21
인사,20
예산,20
언론,20
대장동,20
개발,20
역할,20
논의,19
지원,19
사건,18
시민,18
발언,18
내용,18
지사,18
결과,18
위원장,18
여야,18
검찰,17
지지,17
공개,17
입장,17
기관,17
책임,17
제출,17
진행,16
원내,16
중요,16
업무,16
단체,16
판단,15
동의,15
의회,15
노력,15
운영,15
사과,14
위원,14
대선,14
청년,14
특별,14
보도,14
핵심,14
당시,14
심사,14
발표,14
확인,14
피해,14
일방,14
과정,14
이전,14
구성,14
평가,13
통과,13
당원,13
예산안,13
본인,13
적극,13
발생,13
재정,13
정도,13
방송,13
도시,13
기업,13
투표,13
반대,13
감사원,12
사안,12
행위,12
도민,12
가능,12
이유,12
의도,12
단일,12
이상,12
청문회,12
의장,12
절차,12
합의,12
이준석,11
추진,11
말씀,11
서울,11
활동,11
자리,11
개정안,11
해결,11
부담,11
지적,11
시장,11
의미,11
현안,11
자신,11
대한민국,11
자치,11
조정,10
공공,10
규정,10
일부,10
정당,10
계획,10
경기도,10
경제,10
더불어민주당,10
우려,10
야권,10
답변,10
주장,10
관계,10
시작,10
증인,10
채택,10
자체,10
사항,10
국감,10
제한,10
회의,10
공천,9
사전,9
검토,9
각종,9
특정,9
집중,9
집행,9
양당,9
불법,9
사퇴,9
얘기,9
목적,9
사회,9
성공,9
관리,9
공무원,9
제도,9
산업,9
보고,9
전문,9
위반,9
공사,9
경찰,9
뉴스,9
임명,9
도움,9
도로,9
민생,9
취지,9
관계자,9
발전,9
방안,9
법사위,9
영향,9
변호사,9
경우,8
설치,8
직무,8
집권,8
의사,8
헌법,8
